N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
92.11 secs, 2 evals, 1 steps, fitness=4.718803053
167.67 secs, 4 evals, 2 steps, fitness=4.718803053
234.13 secs, 6 evals, 3 steps, fitness=4.718803053
332.21 secs, 8 evals, 4 steps, fitness=4.718803053
426.97 secs, 10 evals, 5 steps, fitness=4.718803053
519.13 secs, 12 evals, 6 steps, fitness=4.718803053
604.31 secs, 14 evals, 7 steps, fitness=4.718803053
702.46 secs, 16 evals, 8 steps, fitness=4.718803053
797.41 secs, 18 evals, 9 steps, fitness=4.718803053
886.31 secs, 20 evals, 10 steps, fitness=4.718803053
8760.84 secs, 202 evals, 120 steps, improv/step: 0.400 (last = 0.0000), fitness=1.650495096
8809.11 secs, 203 evals, 121 steps, improv/step: 0.397 (last = 0.0000), fitness=1.650495096
8852.51 secs, 204 evals, 122 steps, improv/step: 0.393 (last = 0.0000), fitness=1.650495096
8946.08 secs, 206 evals, 123 steps, improv/step: 0.390 (last = 0.0000), fitness=1.650495096
9035.82 secs, 208 evals, 124 steps, improv/step: 0.395 (last = 1.0000), fitness=1.650495096
9068.17 secs, 209 evals, 125 steps, improv/step: 0.392 (last = 0.0000), fitness=1.650495096
9113.67 secs, 210 evals, 126 steps, improv/step: 0.397 (last = 1.0000), fitness=1.650495096
9160.05 secs, 211 evals, 127 steps, improv/step: 0.394 (last = 0.0000), fitness=1.650495096
9176.66 secs, 212 evals, 128 steps, improv/step: 0.391 (last = 0.0000), fitness=1.650495096
9222.00 secs, 213 evals, 129 steps, improv/step: 0.388 (last = 0.0000), fitness=1.650495096
9269.64 secs, 214 evals, 130 steps, improv/step: 0.385 (last = 0.0000), fitness=1.650495096
9358.98 secs, 216 evals, 131 steps, improv/step: 0.389 (last = 1.0000), fitness=1.650495096
9455.82 secs, 218 evals, 132 steps, improv/step: 0.394 (last = 1.0000), fitness=1.650495096
9500.96 secs, 219 evals, 133 steps, improv/step: 0.391 (last = 0.0000), fitness=1.650495096
9541.97 secs, 220 evals, 134 steps, improv/step: 0.396 (last = 1.0000), fitness=1.650495096
9575.02 secs, 221 evals, 135 steps, improv/step: 0.393 (last = 0.0000), fitness=1.650495096
9622.64 secs, 222 evals, 136 steps, improv/step: 0.390 (last = 0.0000), fitness=1.650495096
9654.63 secs, 223 evals, 137 steps, improv/step: 0.394 (last = 1.0000), fitness=1.650495096
9678.55 secs, 224 evals, 138 steps, improv/step: 0.391 (last = 0.0000), fitness=1.650495096
9720.39 secs, 225 evals, 139 steps, improv/step: 0.388 (last = 0.0000), fitness=1.650495096
9812.78 secs, 227 evals, 140 steps, improv/step: 0.393 (last = 1.0000), fitness=1.650495096
