N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
19.50 secs, 2 evals, 1 steps, fitness=3.559071134
2434.84 secs, 226 evals, 146 steps, improv/step: 0.390 (last = 0.0000), fitness=1.527855177
2440.90 secs, 227 evals, 147 steps, improv/step: 0.388 (last = 0.0000), fitness=1.527855177
2451.21 secs, 228 evals, 148 steps, improv/step: 0.385 (last = 0.0000), fitness=1.527855177
2458.86 secs, 229 evals, 149 steps, improv/step: 0.383 (last = 0.0000), fitness=1.527855177
2469.11 secs, 230 evals, 150 steps, improv/step: 0.380 (last = 0.0000), fitness=1.527855177
2479.77 secs, 231 evals, 151 steps, improv/step: 0.377 (last = 0.0000), fitness=1.527855177
2491.02 secs, 232 evals, 152 steps, improv/step: 0.382 (last = 1.0000), fitness=1.527855177
2502.23 secs, 233 evals, 153 steps, improv/step: 0.386 (last = 1.0000), fitness=1.281702905
2514.70 secs, 234 evals, 154 steps, improv/step: 0.383 (last = 0.0000), fitness=1.281702905
2526.45 secs, 235 evals, 155 steps, improv/step: 0.381 (last = 0.0000), fitness=1.281702905
2530.33 secs, 236 evals, 156 steps, improv/step: 0.378 (last = 0.0000), fitness=1.281702905
2540.38 secs, 237 evals, 157 steps, improv/step: 0.382 (last = 1.0000), fitness=1.281702905
2549.31 secs, 238 evals, 158 steps, improv/step: 0.380 (last = 0.0000), fitness=1.281702905
2561.00 secs, 239 evals, 159 steps, improv/step: 0.377 (last = 0.0000), fitness=1.281702905
2572.73 secs, 240 evals, 160 steps, improv/step: 0.381 (last = 1.0000), fitness=1.281702905
2579.43 secs, 241 evals, 161 steps, improv/step: 0.379 (last = 0.0000), fitness=1.281702905
2591.45 secs, 242 evals, 162 steps, improv/step: 0.377 (last = 0.0000), fitness=1.281702905
2603.49 secs, 243 evals, 163 steps, improv/step: 0.374 (last = 0.0000), fitness=1.281702905
2626.46 secs, 245 evals, 164 steps, improv/step: 0.378 (last = 1.0000), fitness=1.281702905
2648.67 secs, 247 evals, 165 steps, improv/step: 0.376 (last = 0.0000), fitness=1.281702905
2659.52 secs, 248 evals, 166 steps, improv/step: 0.380 (last = 1.0000), fitness=1.281702905
2669.49 secs, 249 evals, 167 steps, improv/step: 0.377 (last = 0.0000), fitness=1.281702905
2681.00 secs, 250 evals, 168 steps, improv/step: 0.375 (last = 0.0000), fitness=1.281702905
2693.33 secs, 251 evals, 169 steps, improv/step: 0.373 (last = 0.0000), fitness=1.281702905
2717.32 secs, 253 evals, 170 steps, improv/step: 0.371 (last = 0.0000), fitness=1.281702905
2728.72 secs, 254 evals, 171 steps, improv/step: 0.374 (last = 1.0000), fitness=1.281702905
2732.44 secs, 255 evals, 172 steps, improv/step: 0.372 (last = 0.0000), fitness=1.281702905
2747.93 secs, 257 evals, 173 steps, improv/step: 0.370 (last = 0.0000), fitness=1.281702905
2758.79 secs, 258 evals, 174 steps, improv/step: 0.374 (last = 1.0000), fitness=1.281702905
2766.83 secs, 259 evals, 175 steps, improv/step: 0.371 (last = 0.0000), fitness=1.281702905
2788.51 secs, 261 evals, 176 steps, improv/step: 0.375 (last = 1.0000), fitness=1.281702905
2799.38 secs, 262 evals, 177 steps, improv/step: 0.379 (last = 1.0000), fitness=1.281702905
2811.72 secs, 263 evals, 178 steps, improv/step: 0.376 (last = 0.0000), fitness=1.281702905
2831.04 secs, 265 evals, 179 steps, improv/step: 0.374 (last = 0.0000), fitness=1.281702905
2841.92 secs, 266 evals, 180 steps, improv/step: 0.378 (last = 1.0000), fitness=1.281702905
2853.92 secs, 267 evals, 181 steps, improv/step: 0.376 (last = 0.0000), fitness=1.281702905
2877.00 secs, 269 evals, 182 steps, improv/step: 0.379 (last = 1.0000), fitness=1.281702905
2884.19 secs, 270 evals, 183 steps, improv/step: 0.377 (last = 0.0000), fitness=1.281702905
2896.08 secs, 271 evals, 184 steps, improv/step: 0.375 (last = 0.0000), fitness=1.281702905
2907.31 secs, 272 evals, 185 steps, improv/step: 0.378 (last = 1.0000), fitness=1.281702905
2919.20 secs, 273 evals, 186 steps, improv/step: 0.376 (last = 0.0000), fitness=1.281702905
2927.10 secs, 274 evals, 187 steps, improv/step: 0.374 (last = 0.0000), fitness=1.281702905
2936.14 secs, 275 evals, 188 steps, improv/step: 0.372 (last = 0.0000), fitness=1.281702905
2947.18 secs, 276 evals, 189 steps, improv/step: 0.376 (last = 1.0000), fitness=1.281702905
2958.02 secs, 277 evals, 190 steps, improv/step: 0.379 (last = 1.0000), fitness=1.281702905
2969.07 secs, 278 evals, 191 steps, improv/step: 0.377 (last = 0.0000), fitness=1.281702905
2980.79 secs, 279 evals, 192 steps, improv/step: 0.375 (last = 0.0000), fitness=1.281702905
2992.64 secs, 280 evals, 193 steps, improv/step: 0.373 (last = 0.0000), fitness=1.281702905
3001.43 secs, 281 evals, 194 steps, improv/step: 0.376 (last = 1.0000), fitness=1.281702905
3012.75 secs, 282 evals, 195 steps, improv/step: 0.379 (last = 1.0000), fitness=1.281702905
3024.69 secs, 283 evals, 196 steps, improv/step: 0.378 (last = 0.0000), fitness=1.281702905
3033.48 secs, 284 evals, 197 steps, improv/step: 0.376 (last = 0.0000), fitness=1.281702905
3045.43 secs, 285 evals, 198 steps, improv/step: 0.374 (last = 0.0000), fitness=1.281702905
3055.91 secs, 286 evals, 199 steps, improv/step: 0.372 (last = 0.0000), fitness=1.281702905
3066.09 secs, 287 evals, 200 steps, improv/step: 0.370 (last = 0.0000), fitness=1.281702905
3074.79 secs, 288 evals, 201 steps, improv/step: 0.368 (last = 0.0000), fitness=1.281702905
3085.95 secs, 289 evals, 202 steps, improv/step: 0.371 (last = 1.0000), fitness=1.281702905
3096.58 secs, 290 evals, 203 steps, improv/step: 0.374 (last = 1.0000), fitness=1.281702905
3106.92 secs, 291 evals, 204 steps, improv/step: 0.373 (last = 0.0000), fitness=1.281702905
3117.71 secs, 292 evals, 205 steps, improv/step: 0.376 (last = 1.0000), fitness=1.281702905
3128.80 secs, 293 evals, 206 steps, improv/step: 0.374 (last = 0.0000), fitness=1.281702905
3141.27 secs, 294 evals, 207 steps, improv/step: 0.372 (last = 0.0000), fitness=1.281702905
3153.83 secs, 295 evals, 208 steps, improv/step: 0.370 (last = 0.0000), fitness=1.281702905
3177.38 secs, 297 evals, 209 steps, improv/step: 0.368 (last = 0.0000), fitness=1.281702905
3188.05 secs, 298 evals, 210 steps, improv/step: 0.371 (last = 1.0000), fitness=1.281702905
3203.71 secs, 300 evals, 211 steps, improv/step: 0.370 (last = 0.0000), fitness=1.281702905
3214.96 secs, 301 evals, 212 steps, improv/step: 0.373 (last = 1.0000), fitness=1.281702905
3220.93 secs, 302 evals, 213 steps, improv/step: 0.371 (last = 0.0000), fitness=1.281702905
