"","Subject","trial.number","Observation.id","food.loc","distract.loc","n_searches","delay","load","baiting","interval","first.search.time","first.search.loc","time.to.search","first.search","food.loc.row","food.loc.col","first.search.row","first.search.col"
"50","Carlos","25","Carlos_E1_S5_T1-6","F3","None",1,"M","1",40.88,8.08,50.96,"F3",10.08,1,"F","3","F","3"
"51","Carlos","26","Carlos_E1_S5_T1-6","E3","None",1,"L","1",78.24,10.72,90.92,"E3",12.68,1,"E","3","E","3"
"52","Carlos","27","Carlos_E1_S5_T1-6","D2","A3",1,"S","2",124.88,6.84,134.04,"D2",9.16,1,"D","2","D","2"
"53","Carlos","28","Carlos_E1_S5_T1-6","C2","None",1,"S","1",167.68,5.88,175.28,"C2",7.59999999999999,1,"C","2","C","2"
"54","Carlos","29","Carlos_E1_S5_T1-6","A1","D3",1,"L","2",212.2,11.32,226.36,"A1",14.16,1,"A","1","A","1"
"55","Carlos","3","Carlos_E1_S1_T1-6","F3","None",1,"L","1",160.28,10.68,174.16,"F3",13.88,1,"F","3","F","3"
"56","Carlos","30","Carlos_E1_S5_T1-6","B1","E3",1,"M","2",273.2,9.75999999999999,285.32,"B1",12.12,1,"B","1","B","1"
"57","Carlos","31","Carlos_E1_S6_T1-6","C2","F1",1,"L","2",90.2,12.92,105.64,"C2",15.44,1,"C","2","C","2"
"58","Carlos","32","Carlos_E1_S6_T1-6","A1","D1",1,"M","2",153.88,8.96000000000001,165.04,"A1",11.16,1,"A","1","A","1"
"59","Carlos","33","Carlos_E1_S6_T1-6","B3","None",2,"S","1",198.2,6.76000000000002,207.24,"B2",9.04000000000002,0,"B","3","B","2"
"60","Carlos","34","Carlos_E1_S6_T1-6","F3","None",1,"M","1",243.44,8.03999999999999,253.56,"F3",10.12,1,"F","3","F","3"
"61","Carlos","35","Carlos_E1_S6_T1-6","E2","B3",2,"S","2",288.2,7.72000000000003,299,"E3",10.8,0,"E","2","E","3"
"62","Carlos","36","Carlos_E1_S6_T1-6","D1","None",2,"L","1",342.76,11.96,356.84,"D2",14.08,0,"D","1","D","2"
"63","Carlos","4","Carlos_E1_S1_T1-6","E3","B2",1,"S","2",212.28,7.31999999999999,221.8,"E3",9.52000000000001,1,"E","3","E","3"
"64","Carlos","5","Carlos_E1_S1_T1-6","B2","None",1,"S","1",257.8,5.68000000000001,265.88,"B2",8.07999999999998,1,"B","2","B","2"
"65","Carlos","6","Carlos_E1_S1_T1-6","C1","F1",1,"M","2",300.08,8.92000000000002,310.84,"C1",10.76,1,"C","1","C","1"
"66","Carlos","7","Carlos_E1_S2_T1-6","D1","None",1,"L","1",26.8,13.24,42.2,"D1",15.4,1,"D","1","D","1"
"67","Carlos","8","Carlos_E1_S2_T1-6","E2","B3",3,"M","2",87.68,9.11999999999999,98.36,"E2",10.68,0,"E","2","E","2"
"68","Carlos","9","Carlos_E1_S2_T1-6","B2","None",1,"M","1",141.36,8,152.96,"B2",11.6,1,"B","2","B","2"
"69","Cayenne","1","Cayenne_E1_S1_T1-6","C3","None",1,"L","1",32.16,10.52,44.32,"C3",12.16,1,"C","3","C","3"
